"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1379","Redwood County","Minnesota",2355,28.43,5771,69.66,158,1.91,2.6,4.4,36.2,25.1,11.7,15,5,0.4195,65617,80890,2275.49,6.78,15425,3.22,85.08,0.49,5.02,2.68,0.01,0.1,3.4,34.48,16.25,17.92,16.21,15.13,"Republican"
"1380","Renville County","Minnesota",2496,30.71,5467,67.26,165,2.03,2.6,6,34.9,24.6,13.9,14.1,3.9,0.4123,66313,82725,2545.71,5.78,14723,8.96,86.71,0.41,0.7,0.41,0.03,0.18,2.59,32.27,17.5,17.14,13.1,19.99,"Republican"
"1381","Rice County","Minnesota",17402,48.76,17464,48.94,820,2.3,2.9,4.6,32.3,19.1,11.2,18.8,11.1,0.4327,78214,99972,1284.23,52.29,67097,10.11,76.79,6.49,0.44,2.32,0.01,0.63,3.21,35.18,18.14,19.14,11.17,16.36,"Republican"
"1382","Rock County","Minnesota",1556,29.69,3583,68.38,101,1.93,2.2,3.8,33.4,21.1,12.1,20,7.5,0.4401,75060,93192,1249.56,7.73,9704,3.75,91.57,0.52,0.49,0.64,0.1,0,2.93,41.71,20.73,14.45,8.65,14.47,"Republican"
"1383","Roseau County","Minnesota",2188,25.98,6065,72.02,168,2,1.9,5.2,37.4,23.5,12,15.9,4.1,0.423,70122,87183,4329.78,3.53,15331,1.55,89.36,0.55,1.49,2.6,0.07,0.37,4.01,30.36,11.91,16.65,9.45,31.63,"Republican"
"1384","Scott County","Minnesota",40040,45.52,45872,52.15,2053,2.33,2.3,2.8,20.3,18.4,13.4,30.1,12.7,0.4083,118268,144751,922.32,164.09,150928,5.97,76.61,5.39,0.93,6.59,0.04,0.4,4.07,44.32,14.12,20.79,7.37,13.38,"Republican"
"1385","Sherburne County","Minnesota",18065,32.48,36222,65.13,1325,2.38,1.6,4,28.4,24.2,14.5,19.4,7.8,0.3759,99431,114114,1121.33,87.24,97183,2.9,87.22,3.75,0.4,1.31,0.02,0.32,4.07,36.14,14.93,18.78,11.82,18.32,"Republican"
"1386","Sibley County","Minnesota",2417,28.6,5864,69.38,171,2.02,2.9,3.9,37.6,24.5,13.3,14.3,3.5,0.4198,74781,92467,1525.09,9.8,14836,8.86,87.23,0.55,0.2,0.49,0.07,0.17,2.43,31.51,14.45,17,15.3,21.74,"Republican"
"1387","St. Louis County","Minnesota",67704,56.64,49017,41.01,2810,2.35,1.4,3.7,25.4,24.7,13.1,20.1,11.6,0.4531,66491,86713,16182.54,12.37,200231,1.8,87.95,2.04,2.15,0.95,0.03,0.29,4.79,38.43,19.6,19.08,10.51,12.38,"Democrat"
"1388","Stearns County","Minnesota",31879,37.58,50959,60.07,1997,2.35,3.7,3.6,27.4,22.5,14.4,18.7,9.8,0.4314,73105,92557,3478.03,45.61,158292,4.39,81.67,8.35,0.28,2,0.04,0.27,3,36.18,17.19,20.78,9.26,16.59,"Republican"
"1389","Steele County","Minnesota",7917,37.47,12656,59.9,555,2.63,2.3,5.1,30.3,22.5,11.5,18.7,9.7,0.426,79722,97853,1112.53,33.61,37406,8.39,83.88,3.63,0.17,0.88,0.05,0.16,2.83,36.27,13.61,19.21,10.21,20.71,"Republican"
"1390","Stevens County","Minnesota",1922,37.8,3044,59.86,119,2.34,3.5,2.9,30.7,20.8,13.5,20.3,8.3,0.4823,69737,97998,1459.87,6.63,9671,10.2,83.68,0.87,1.14,0.7,0.01,0.41,2.99,33.87,18.84,19.13,13.65,14.51,"Republican"
"1391","Swift County","Minnesota",1784,34.35,3316,63.86,93,1.79,3.3,3.6,32.3,23.2,14.7,19,3.9,0.4586,58362,81827,1921.84,5.1,9838,6.73,87.6,0.8,0.26,0.79,1.35,0.05,2.41,38.6,15.59,16.94,12.39,16.49,"Republican"
"1392","Todd County","Minnesota",3286,24.79,9753,73.57,218,1.64,5.5,5.5,40.6,21.5,12.1,10.5,4.4,0.4079,63216,76266,2447.79,10.33,25262,8.74,87.55,0.38,0.3,0.38,0.29,0.26,2.11,29.82,14.62,16.18,13.75,25.63,"Republican"
"1393","Traverse County","Minnesota",661,35.46,1172,62.88,31,1.66,2.4,3.7,36.8,21.8,19.1,11.9,4.3,0.428,63456,81057,1486.32,2.25,3360,5.86,84.85,0.62,5.45,0,0,0.15,3.07,41.18,16.39,18.26,11.65,12.52,"Republican"
"1394","Wabasha County","Minnesota",4696,35.78,8153,62.13,274,2.09,2.3,3.2,32.5,20.6,14.7,18.4,8.3,0.4119,75063,93379,1354.36,15.85,21387,3.31,93.15,0.57,0.15,0.45,0.03,0.09,2.25,39.33,16.29,19.26,10.59,14.53,"Republican"
"1395","Wadena County","Minnesota",2023,26.35,5520,71.9,134,1.75,2.7,4.9,35.3,23,15.8,14.4,3.9,0.4064,54747,68445,1389.13,10.16,14065,1.94,92.74,0.84,0.52,0.38,0.06,0.14,3.38,28.57,18.17,17.97,15.07,20.22,"Republican"
"1396","Waseca County","Minnesota",3496,33.65,6624,63.76,269,2.59,1.9,5.1,35.1,21.2,14.6,16.4,5.5,0.4226,71856,91089,1096.51,17.28,18968,6.7,87.19,1.77,0.6,0.59,0.06,0.11,2.98,32.81,15.95,21.26,11.1,18.88,"Republican"
"1397","Washington County","Minnesota",89165,53.46,73764,44.23,3857,2.31,1.4,2.4,19,18.8,10.4,30.8,17,0.426,110828,143126,996.42,269.62,267568,4.89,77.84,5.16,0.37,6.93,0.03,0.36,4.42,50.31,13.56,19.78,6.09,10.26,"Democrat"
"1398","Watonwan County","Minnesota",1987,38.2,3103,59.66,111,2.13,7.2,5,34.7,24.5,10.5,13.5,4.7,0.4458,65197,84276,1126.51,9.95,11253,28.68,68.33,0.37,0.12,0.76,0,0.13,1.61,32.41,13.24,18.77,17.45,18.13,"Republican"
"1399","Wilkin County","Minnesota",1026,29.91,2328,67.87,76,2.22,1.9,4.7,30.8,21.4,16.9,18.8,5.4,0.4502,67114,89697,1945.18,3.32,6506,3.24,90.96,0.63,1.34,0.12,0.02,0.08,3.61,35.12,14.48,18.82,16.85,14.73,"Republican"
"1400","Winona County","Minnesota",13333,49.07,13227,48.68,613,2.26,2.2,4.7,26.5,20.2,14.7,21,10.8,0.4347,66162,83555,1621.79,30.7,49671,3.8,88.94,1.8,0.17,1.88,0,0.25,3.16,36.13,17.2,20.8,8.72,17.15,"Democrat"
"1401","Wright County","Minnesota",28430,34.49,51973,63.05,2023,2.45,1.4,3.7,28.1,20.8,12.9,23.2,9.9,0.3789,102980,117983,1712.36,83.24,141337,3.32,89.17,1.84,0.23,1.33,0.02,0.36,3.72,41.69,11.9,21.09,12.13,13.19,"Republican"
"1402","Yellow Medicine County","Minnesota",1688,30.54,3734,67.55,106,1.92,2.2,5.2,32.7,23.9,16.6,14.1,5.3,0.4221,70605,87454,1966.06,4.87,9528,4.7,88.25,0.5,2.9,0.29,0.01,0.04,3.31,33.23,16.84,19.44,14.73,15.76,"Republican"
"1403","Adams County","Mississippi",7917,57.54,5696,41.4,146,1.06,6,11.4,33.1,20.3,8.9,12,8.3,0.51,37271,55372,1197.46,24.57,29538,3.43,36.99,56.57,0.19,0.56,0.02,0.12,2.13,31.26,23.11,20.84,10.75,14.04,"Democrat"
"1404","Alcorn County","Mississippi",2782,17.59,12818,81.06,213,1.35,7,11.1,34.1,21,9.2,11.3,6.3,0.4855,47716,65607,1036.11,33.51,34740,3.59,79.84,12.42,0.18,0.52,0.05,0.14,3.25,30.22,17.1,21.04,8.15,23.49,"Republican"
"1405","Amite County","Mississippi",2620,36.35,4503,62.48,84,1.17,1.7,10.8,42.3,23.2,12.8,4.4,4.8,0.5003,34866,50090,1890.95,6.71,12720,1.01,58.44,38.01,0.2,0.24,0,0.14,1.95,26.16,16.1,19.17,13.7,24.87,"Republican"
"1406","Attala County","Mississippi",3542,40.1,5178,58.63,112,1.27,5.3,10.6,36.7,20.3,10.9,11.5,4.7,0.5375,42680,68671,1903.53,9.37,17889,1.85,52.6,42.72,0.16,0.54,0.02,0.21,1.9,24.84,19.48,19.92,10.87,24.89,"Republican"
"1407","Benton County","Mississippi",1679,39.12,2570,59.88,43,1,9.2,12.8,33.8,25,8.2,6.1,4.9,0.4693,38750,55802,1053.13,7.25,7646,1.9,59.7,34.71,0.08,0.01,0,0.5,3.1,21.33,17.15,15.92,15.62,29.97,"Republican"
"1408","Bolivar County","Mississippi",8904,64.73,4671,33.96,180,1.31,6.5,11.3,25.4,18.7,11,15,12.2,0.5585,37845,64115,2270.14,13.52,30985,2.56,32.1,62.15,0.07,0.85,0,0.17,2.1,34.67,20.48,20.55,10.27,14.04,"Democrat"
"1409","Calhoun County","Mississippi",1902,28.84,4625,70.13,68,1.03,6.7,15,34.9,19.8,11.6,7.6,4.4,0.4158,44505,55856,1519.22,8.68,13266,5.63,65.29,25.96,0.11,0.13,0,0.14,2.74,20.5,17.94,16.92,14.4,30.23,"Republican"
"1410","Carroll County","Mississippi",1729,30.31,3924,68.78,52,0.91,6.6,14.6,31.2,18.6,11,14.1,3.9,0.4601,42285,61964,1627.52,6.1,9998,1.54,65.3,30.31,0.15,0.29,0,0.18,2.23,32.75,12.5,20.93,20.11,13.71,"Republican"
"1411","Chickasaw County","Mississippi",3810,46.76,4175,51.24,163,2,7.9,16,33.8,20.6,10.4,8.4,2.9,0.4667,40224,52908,1299.61,13.1,17106,3.75,50.18,43.3,0.08,0.24,0,0.09,2.36,20.51,12.95,24.72,8.22,33.61,"Republican"
"1412","Choctaw County","Mississippi",1185,28.05,3001,71.03,39,0.92,2,11.1,41.6,17.3,10.7,10,7.3,0.5014,41887,66543,1083.13,7.58,8246,1.42,67.41,28.28,0.18,0.07,0,0.08,2.55,30.54,17.95,16.08,13.07,22.36,"Republican"
"1413","Claiborne County","Mississippi",3772,84.71,603,13.54,78,1.75,4.8,13.1,29.4,23.5,7,8.4,13.9,0.5425,34282,51995,1262.4,7.16,9135,0.79,10.66,87.13,0.09,0,0,0.09,1.25,31.38,17.92,22.65,10.36,17.69,"Democrat"
"1414","Clarke County","Mississippi",2838,34,5417,64.9,92,1.1,3.8,10.5,35.9,23.6,13.5,8.6,4.1,0.4987,46329,64381,1791.17,8.68,15615,0.85,63.72,32.68,0.1,0.05,0.04,0.15,2.41,28.99,17.69,19.8,12.43,21.09,"Republican"
"1415","Clay County","Mississippi",5844,57.26,4181,40.97,181,1.77,5.3,13,33.4,17.7,12.6,11.3,6.7,0.5131,37412,56933,1062.08,17.51,18636,1,38.61,57.87,0.19,0.31,0.01,0.2,1.82,24.96,17.3,21.03,9.33,27.38,"Democrat"
"1416","Coahoma County","Mississippi",6020,70.77,2375,27.92,112,1.32,8.4,10.3,24.3,25,12,12.6,7.4,0.522,36075,54256,1432.53,14.84,21390,1.64,20.03,75.78,0.12,0.52,0,0.21,1.7,34.96,25.49,16.92,10.24,12.4,"Democrat"
"1417","Copiah County","Mississippi",6470,50.17,6250,48.46,177,1.37,5,10.2,31.9,20.1,11.6,15.5,5.8,0.535,46889,75649,2013.16,14.01,28368,3.92,42.9,50.28,0.06,0.43,0.08,0.15,2.17,28.81,19.97,20.07,7.73,23.41,"Democrat"
"1418","Covington County","Mississippi",3416,36.45,5854,62.47,101,1.08,4.6,12.5,32.3,22.4,12.4,11,4.7,0.4866,40164,58449,1071.78,17.1,18340,2.28,60.23,34.81,0.11,0.45,0.02,0.19,1.9,29.41,13.83,21.46,10.45,24.85,"Republican"
"1419","DeSoto County","Mississippi",28265,37.07,46462,60.94,1521,1.99,3,5.8,28.8,23.7,11.3,18,9.4,0.3985,79666,94033,1233.73,150.94,185314,5.48,58.53,30.2,0.16,1.63,0.07,0.34,3.58,36.95,13.56,21.42,9.04,19.03,"Republican"
"1420","Forrest County","Mississippi",13755,43.36,17290,54.5,680,2.14,2.8,7.7,26.2,23.1,11.6,15.3,13.4,0.5008,49340,71069,1207.04,64.55,78158,4.17,55.17,36.02,0.23,1.01,0.04,0.4,2.97,32.69,19.07,25.57,7.56,15.11,"Republican"
"1421","Franklin County","Mississippi",1480,33.15,2923,65.48,61,1.37,7.5,8.1,31.4,24.9,11.5,11.8,4.7,0.5028,43942,62436,1460.66,5.26,7675,0.78,63.97,33.39,0.03,0.1,0,0.16,1.56,34.77,15.43,19.34,10.93,19.53,"Republican"
"1422","George County","Mississippi",1218,11.01,9713,87.79,133,1.2,4.2,9.8,36.2,22.1,11.7,11.7,4.3,0.4628,51349,68792,1239.82,19.8,24350,2.76,85.95,7.29,0.35,0.32,0,0.17,3.17,34.17,15.28,16.51,19.87,14.16,"Republican"
"1423","Greene County","Mississippi",966,16.61,4794,82.43,56,0.96,6.2,12.7,38.2,24,7.6,7.2,4.1,0.4685,50000,62953,1845.98,7.41,13530,1.26,72.5,23.23,0.44,0.16,0.02,0.08,2.31,34.22,15.74,12.84,19.22,17.99,"Republican"
"1424","Grenada County","Mississippi",4734,43.36,6081,55.69,104,0.95,4.4,13.6,31.8,18.3,9.8,13.2,8.8,0.4992,45745,67233,1093.29,19.64,21629,1.43,52.05,43.24,0.13,0.39,0.01,0.12,2.63,37.52,12.01,18.75,13.1,18.62,"Republican"
"1425","Hancock County","Mississippi",4504,21.49,16132,76.98,321,1.53,2.6,7.1,30.2,25,10.8,13.2,11.2,0.471,63623,88522,1227.56,37.48,46053,4.16,81.08,8.49,0.53,0.92,0.02,0.36,4.43,37.83,15.68,22.21,12.95,11.32,"Republican"
"1426","Harrison County","Mississippi",27728,36.55,46822,61.72,1315,1.73,3.2,7.7,28.6,23.3,12.4,15.3,9.5,0.4597,55211,75018,1485.71,140.5,208621,6.7,59.96,24.51,0.38,2.83,0.12,0.35,5.14,35.87,22.59,20.35,9,12.19,"Republican"
"1427","Hinds County","Mississippi",73550,73.41,25141,25.09,1500,1.5,3.6,7.4,23,24.5,10.2,17.9,13.5,0.483,48596,68871,2252.89,100.56,227742,2,25.47,69.15,0.15,0.95,0.02,0.25,2.01,36.11,20.41,19.79,7.03,16.66,"Democrat"
"1428","Holmes County","Mississippi",6588,81.18,1369,16.87,158,1.95,6.4,12.6,35.7,24.6,6,10.7,4.1,0.5722,28818,49164,1959.78,8.6,17000,0.66,13.88,83.49,0.21,0.12,0,0.08,1.56,23.49,20.21,15.27,13.08,27.96,"Democrat"
"1429","Humphreys County","Mississippi",3016,72,1118,26.69,55,1.31,7.8,17.4,28.7,17.9,9.6,9.2,9.4,0.5853,31907,61023,1084.38,7.14,7785,1.17,18.28,78,0.17,0.13,0,0.1,2.16,26.18,23.62,15.35,14.96,19.89,"Democrat"
"1430","Issaquena County","Mississippi",355,52.51,308,45.56,13,1.92,9.5,26.2,40,13.8,5.4,2.9,2.3,0.4862,17900,36134,1069.61,1.13,1338,9.57,32.88,55.9,0.07,0.37,0,0.07,1.12,22.65,17.13,19.34,30.39,10.5,"Democrat"
"1431","Itawamba County","Mississippi",1249,11.54,9438,87.18,139,1.28,4.7,10,34.8,25.5,9.7,9,6.3,0.489,57252,82383,1379.93,17.31,23863,1.61,88.54,6.8,0.21,0.21,0,0.16,2.47,27.36,15.76,20.47,11.67,24.74,"Republican"
"1432","Jackson County","Mississippi",17375,31.81,36295,66.45,953,1.74,4.3,7,27.7,25.6,11.9,15.4,8.2,0.4646,60045,79590,1872.11,76.77,143252,7.02,64.84,20.74,0.4,2.21,0.06,0.28,4.45,36.05,17.74,20.89,12.15,13.16,"Republican"
"1433","Jasper County","Mississippi",4341,49.66,4302,49.21,99,1.13,2.8,8.6,43.5,20.6,9.6,10.7,4.2,0.4432,43914,58265,1751.64,9.32,16367,1.03,46.07,50.86,0.17,0.05,0,0.12,1.7,27.01,17.5,15.74,12.22,27.53,"Democrat"
"1434","Jefferson County","Mississippi",3327,85.07,531,13.58,53,1.36,10.8,13.3,30.5,21.5,4.2,10.5,9.2,0.5051,31544,50112,1346.62,5.35,7260,1.02,12.27,84.55,0.14,0.19,0.07,0.07,1.69,36.54,33.63,7.74,9.12,12.97,"Democrat"
"1435","Jefferson Davis County","Mississippi",3599,57.93,2534,40.79,80,1.29,4.4,10.1,40.1,20.6,10.7,7,7.1,0.4553,36473,54515,1057.87,10.67,11321,0.89,38.25,58.49,0.07,0.19,0,0.14,1.97,25.89,14.32,20.58,11.49,27.72,"Democrat"
"1436","Jones County","Mississippi",8517,28.3,21226,70.54,348,1.16,6.1,7.8,31.6,23.2,10.6,12.5,8.2,0.4723,49451,68431,1799.64,37.31,67246,6.16,61.98,28.46,0.54,0.4,0.04,0.22,2.21,29.84,15.83,21.41,12.44,20.47,"Republican"
"1437","Kemper County","Mississippi",2887,61.01,1787,37.76,58,1.23,5.8,14.2,32.7,19.9,10.8,8.3,8.2,0.4647,42947,55545,1984.4,4.53,8988,0.75,31.29,61.04,5.12,0.07,0.01,0.14,1.59,29.88,19.38,15.88,5.69,29.18,"Democrat"
